iter	Passed	Remaining
0	143	143223
1	145	72673
2	147	49137
3	150	37385
4	153	30622
5	155	25790
6	156	22207
7	157	19548
8	159	17600
9	161	16001
10	163	14719
11	166	13668
12	167	12712
13	168	11876
14	170	11219
15	172	10615
16	175	10123
17	177	9683
18	178	9236
19	180	8835
20	182	8503
21	183	8162
22	184	7829
23	186	7576
24	188	7345
25	189	7102
26	191	6888
27	193	6705
28	194	6516
29	195	6325
30	197	6163
31	199	6027
32	201	5898
33	202	5754
34	204	5631
35	205	5508
36	206	5383
37	208	5268
38	209	5162
39	210	5049
40	212	4960
41	214	4888
42	216	4817
43	218	4740
44	220	4679
45	222	4617
46	223	4535
47	226	4490
48	228	4436
49	230	4372
50	233	4341
51	235	4286
52	236	4233
53	237	4169
54	239	4122
55	241	4077
56	244	4039
57	246	4000
58	247	3952
59	249	3916
60	252	3889
61	253	3835
62	255	3799
63	257	3763
64	259	3733
65	261	3703
66	263	3675
67	265	3640
68	266	3601
69	269	3578
70	271	3549
71	273	3528
72	275	3504
73	278	3480
74	279	3448
75	281	3427
76	283	3402
77	285	3379
78	287	3356
79	289	3333
80	292	3316
81	293	3288
82	294	3257
83	297	3238
84	299	3223
85	301	3205
86	304	3194
87	306	3180
88	308	3162
89	310	3142
90	312	3126
91	315	3110
92	317	3095
93	319	3077
94	321	3061
95	323	3042
96	324	3023
97	326	3007
98	328	2994
99	330	2971
100	332	2956
101	334	2943
102	336	2927
103	338	2913
104	339	2894
105	341	2877
106	342	2861
107	346	2858
108	348	2846
109	348	2823
110	350	2807
111	353	2802
112	355	2792
113	358	2788
114	361	2780
115	363	2769
116	364	2753
117	366	2741
118	368	2731
119	371	2727
120	374	2721
121	376	2710
122	378	2700
123	380	2689
124	382	2679
125	385	2671
126	387	2662
127	389	2653
128	391	2644
129	394	2639
130	396	2632
131	399	2625
132	401	2619
133	404	2612
134	406	2606
135	408	2594
136	410	2584
137	412	2579
138	415	2571
139	418	2568
140	420	2562
141	421	2547
142	424	2544
143	426	2536
144	428	2528
145	431	2521
146	432	2512
147	435	2506
148	437	2499
149	439	2492
150	442	2489
151	445	2482
152	448	2480
153	450	2474
154	453	2470
155	455	2465
156	457	2458
157	461	2457
158	463	2451
159	466	2447
160	467	2435
161	469	2429
162	472	2424
163	474	2417
164	476	2411
165	479	2407
166	481	2400
167	483	2394
168	485	2389
169	487	2380
170	489	2374
171	491	2366
172	493	2357
173	495	2352
174	497	2346
175	499	2340
176	502	2336
177	504	2330
178	507	2328
179	509	2322
180	512	2318
181	514	2312
182	516	2308
183	519	2304
184	520	2294
185	522	2287
186	524	2282
187	525	2271
188	526	2259
189	528	2252
190	529	2244
191	530	2234
192	532	2225
193	534	2220
194	536	2213
195	538	2207
196	540	2202
197	543	2199
198	545	2194
199	547	2191
200	549	2183
201	550	2176
202	552	2171
203	555	2167
204	557	2163
205	560	2159
206	562	2153
207	563	2146
208	565	2141
209	568	2137
210	569	2130
211	572	2127
212	573	2119
213	575	2113
214	578	2110
215	580	2106
216	582	2102
217	584	2097
218	586	2091
219	588	2086
220	590	2082
221	592	2075
222	594	2071
223	596	2068
224	599	2064
225	601	2061
226	604	2057
227	606	2054
228	609	2051
229	611	2046
230	613	2043
231	616	2039
232	618	2034
233	620	2031
234	621	2022
235	623	2017
236	625	2014
237	627	2010
238	630	2006
239	632	2003
240	634	1998
241	635	1990
242	637	1987
243	640	1983
244	642	1980
245	644	1974
246	646	1970
247	648	1967
248	650	1963
249	652	1956
250	654	1953
251	656	1948
252	658	1945
253	662	1944
254	664	1940
255	667	1939
256	669	1936
257	672	1933
258	674	1929
259	676	1924
260	678	1920
261	680	1917
262	683	1914
263	685	1911
264	687	1907
265	690	1905
266	692	1902
267	694	1898
268	697	1894
269	698	1888
270	699	1882
271	701	1878
272	704	1875
273	706	1871
274	708	1867
275	710	1863
276	712	1859
277	715	1858
278	717	1853
279	719	1848
280	720	1844
281	721	1838
282	723	1832
283	725	1830
284	727	1825
285	729	1822
286	732	1820
287	735	1817
288	738	1816
289	741	1814
290	744	1812
291	746	1809
292	747	1804
293	750	1801
294	752	1798
295	754	1795
296	756	1791
297	759	1788
298	760	1783
299	762	1779
300	764	1775
301	765	1769
302	768	1766
303	770	1763
304	771	1759
305	774	1756
306	776	1751
307	777	1747
308	779	1743
309	781	1740
310	783	1736
311	785	1732
312	787	1729
313	789	1725
314	792	1723
315	794	1720
316	797	1717
317	799	1715
318	802	1712
319	804	1710
320	807	1707
321	809	1704
322	811	1701
323	813	1698
324	815	1694
325	817	1690
326	819	1686
327	821	1682
328	823	1680
329	826	1677
330	833	1685
331	836	1682
332	837	1678
333	840	1676
334	843	1673
335	845	1670
336	846	1665
337	848	1662
338	851	1659
339	853	1656
340	855	1653
341	858	1651
342	860	1648
343	861	1643
344	863	1639
345	864	1634
346	867	1631
347	869	1628
348	871	1625
349	873	1622
350	875	1619
351	877	1616
352	879	1612
353	881	1608
354	883	1604
355	885	1601
356	887	1598
357	889	1595
358	891	1590
359	892	1587
360	895	1584
361	897	1581
362	899	1579
363	901	1575
364	904	1572
